2020-08-31 11:44:30,952 INFO  [sweetshop.settings:23] BASE_DIR:  D:\sweetshop1
2020-08-31 11:44:31,077 INFO  [sweetshop.settings:242] APP_PRIVATE_KEY_PATH: D:\sweetshop1\apps\order\app_private_key.pem
2020-08-31 11:44:31,077 INFO  [sweetshop.settings:245] ALIPAY_PUBLIC_KEY_PATH: D:\sweetshop1\apps\order\alipay_public_key.pem
2020-08-31 11:45:01,961 INFO  [sweetshop.settings:23] BASE_DIR:  D:\sweetshop1
2020-08-31 11:45:01,961 INFO  [sweetshop.settings:242] APP_PRIVATE_KEY_PATH: D:\sweetshop1\apps\order\app_private_key.pem
2020-08-31 11:45:01,961 INFO  [sweetshop.settings:245] ALIPAY_PUBLIC_KEY_PATH: D:\sweetshop1\apps\order\alipay_public_key.pem
2020-08-31 11:45:03,235 INFO  [django.utils.autoreload:578] Watching for file changes with StatReloader
2020-08-31 11:49:55,862 WARNI [django.request:228] Not Found: /user/login
2020-08-31 11:49:57,790 WARNI [django.request:228] Not Found: /favicon.ico
2020-08-31 11:50:04,591 WARNI [django.request:228] Not Found: /login
2020-08-31 11:51:12,529 INFO  [goods.views:29] ���û���
2020-08-31 11:51:50,866 DEBUG [jieba:113] Building prefix dict from the default dictionary ...
2020-08-31 11:51:51,578 DEBUG [jieba:133] Loading model from cache C:\Users\Public\Documents\Wondershare\CreatorTemp\jieba.cache
2020-08-31 11:51:53,504 DEBUG [jieba:165] Loading model cost 2.637 seconds.
2020-08-31 11:51:53,505 DEBUG [jieba:166] Prefix dict has been built successfully.
2020-08-31 15:19:38,467 INFO  [sweetshop.settings:23] BASE_DIR:  /mnt/hgfs/虚拟机共享文件夹/sweetshop1
2020-08-31 15:19:38,468 INFO  [sweetshop.settings:242] APP_PRIVATE_KEY_PATH: /mnt/hgfs/虚拟机共享文件夹/sweetshop1/apps\order\app_private_key.pem
2020-08-31 15:19:38,468 INFO  [sweetshop.settings:245] ALIPAY_PUBLIC_KEY_PATH: /mnt/hgfs/虚拟机共享文件夹/sweetshop1/apps\order\alipay_public_key.pem
2020-08-31 15:19:45,798 INFO  [sweetshop.settings:23] BASE_DIR:  /mnt/hgfs/虚拟机共享文件夹/sweetshop1
2020-08-31 15:19:45,803 INFO  [sweetshop.settings:242] APP_PRIVATE_KEY_PATH: /mnt/hgfs/虚拟机共享文件夹/sweetshop1/apps\order\app_private_key.pem
2020-08-31 15:19:45,804 INFO  [sweetshop.settings:245] ALIPAY_PUBLIC_KEY_PATH: /mnt/hgfs/虚拟机共享文件夹/sweetshop1/apps\order\alipay_public_key.pem
2020-08-31 15:23:19,753 INFO  [sweetshop.settings:23] BASE_DIR:  /mnt/hgfs/虚拟机共享文件夹/sweetshop1
2020-08-31 15:23:19,754 INFO  [sweetshop.settings:242] APP_PRIVATE_KEY_PATH: /mnt/hgfs/虚拟机共享文件夹/sweetshop1/apps\order\app_private_key.pem
